title,type,question,A,B,C,D,E,F,answer,image
Calculating Flow of Current through Electrical Appliances,radio,"2.2kW, 240V 的热水壶，Current / Arus 怎么算？",2.2 ÷ 240,2200 ÷ 240,240 ÷ 2.2,240 ÷ 2200,2.2 x 240,2200 x 240,B,
,radio,"2kW, 240V 的热水壶 煮10分钟的水，1度电是21 sen，请问煮一次水的电费怎么算？",2kW x 10/60 h x RM0.21,2kW × 240V × RM0.21,2kW × 10 minutes × RM0.21,2kW ÷ 10 minutes × RM0.21,,,A,
,radio,一间屋子有 3 台 60W 的灯泡，每天开 5 小时，连续使用 30 天。若每度电收费 RM0.50，计算这 3 台灯泡一个月的总电费,0.06kW × 3 × 5 × 30 × RM0.50,60W × 5 × 30 × RM0.50,(60 × 3) × 30 ÷ RM0.50,60W × 3 × 5h ÷ 30 × RM0.50,,,A,
,radio,家中有 2 台 1.2kW 的空调，每天使用 8 小时，连续 10 天。若电费为 RM0.45 每 kWh，计算这段时间的电费,1.2kW × 2 × 8h × 10 days × RM0.45,1.2kW + 8h + 10 × RM0.4,1.2kW × 8 × RM0.45,2 × 10 ÷ 8 × 1.2kW × RM0.45,,,A,
,radio,5 台 100W 的风扇，每天运作 6 小时，连续 20 天。每度电收费 RM0.40，计算总电费,0.5kW × 6 × 20 × RM0.40,100W × 5 × RM0.40,100 × 6 × 20 ÷ RM0.40,100W ÷ 5 × 6 × 20 × RM0.40,,,A,
,radio,"一个 1500W, 240V 的电风扇在晚上使用了 2 小时。若 1kWh 的电费是 RM0.50，计算一次使用的电费",1.5kW × 2 h × RM0.50,1500W × 240V × RM0.50,2h ÷ 1.5 × RM0.50,1.5kW + 2 × RM0.50,,,A,
,radio,一台 1000W 的微波炉加热食物用了 15 分钟。若 1 度电收费 RM0.40，计算这次加热的电费,1kW × 15/60 h × RM0.40,1000W × 15 minutes × RM0.40,1kW ÷ 15 minutes × RM0.40,1kW × RM0.40,,,A,
,radio,一盏 500W 的灯泡亮着 4 小时。若每 kWh 收费 RM0.30，计算所需电费,0.5kW × 4 h × RM0.30,500W + 4h × RM0.30,4 ÷ 0.5kW × RM0.30,500W × RM0.30 × 240V,,,A,
,radio,一辆电动车充电功率为 7kW，完整充电需 3 小时。若电费是 RM0.50 每 kWh，计算这次充电的电费,7kW × 3h × RM0.50,7kW × RM0.50 ÷ 3,3h + 7kW × RM0.50,7kW × 240V × RM0.50,,,A,
,radio,某辆电车充电 2 小时共耗电 4 kWh。若 1 kWh 的电费是 RM0.60，计算总电费,4 kWh × RM0.60,2h × RM0.60 ÷ 4,4 kWh × 2 × RM0.60,240V × 4 × RM0.60,,,A,
,radio,一辆电动车使用 11kW 的快充器充电 20 分钟，若电费为 RM0.55/kWh，计算电费,11kW × 20/60 h × RM0.55,11kW × 20 × RM0.55,11kW + 20/60 × RM0.55,20/60 ÷ 11kW × RM0.55,,,A,
